#Lattice CSV format Constraint file generated by Constraint Editor
#Generated at Fri Apr 05 20:57:45 2013
#Design : protein_1_set_2_dram
#Package : 44PLCC
#Spreadsheet : Pin Attributes
Type,Signal/Group Name,Group Members,GLB,Macrocell,Pin,Power,Slewrate
Input,A1,,,,2,Unknown,
Input,A2,,,,4,Unknown,
Input,A3,,,,6,Unknown,
Input,A4,,,,8,Unknown,
Input,A5,,,,14,Unknown,
Input,A6,,,,16,Unknown,
Input,A16,,,,15,Unknown,
Input,A17,,,,9,Unknown,
Input,A18,,,,7,Unknown,
Input,A19,,,,5,Unknown,
Input,A20,,,,3,Unknown,
Input,A21,,,,43,Unknown,
Input,A22,,,,42,Unknown,
Input,A23,,,,41,Unknown,
Output,C_CS,,,,21,Unknown,SLOW
Clock Input,cpu_clk,,,,11,Unknown,
Output,cpu_d12,,C,,28,High,SLOW
Output,cpu_d13,,C,,27,High,SLOW
Output,cpu_d14,,C,,26,High,SLOW
Output,cpu_d15,,C,,25,High,SLOW
Input,cpu_nas,,,,40,Unknown,
Input,cpu_nlds,,,,37,Unknown,
Input,cpu_nuds,,,,38,Unknown,
Input,cpu_reset,,,,39,Unknown,
Output,dram_nlcas,,,,30,Unknown,SLOW
Output,dram_nras0,,,,31,Unknown,SLOW
Output,dram_nucas,,,,29,Unknown,SLOW
Output,dram_ras1,,,,36,Unknown,SLOW
Output,dram_ras2,,,,18,Unknown,SLOW
Output,dram_ras3,,,,19,Unknown,SLOW
Input,enab,,,,20,Unknown,
Output,mux_switch,,,,17,Unknown,SLOW
