#Lattice CSV format Constraint file generated by Constraint Editor
#Generated at Sat Mar 23 18:14:09 2013
#Design : protein_1_set_2_dram
#Package : 44PLCC
#Spreadsheet : Pin Attributes
Type,Signal/Group Name,Group Members,GLB,Macrocell,Pin,Power,Slewrate
Input,cpu_a1,,A,,2,High,
Input,cpu_a20,,A,,3,High,
Input,cpu_a2,,A,,4,High,
Input,cpu_a19,,A,,5,High,
Input,cpu_a3,,A,,6,High,
Input,cpu_a18,,A,,7,High,
Input,cpu_a4,,A,,8,High,
Input,cpu_a17,,A,,9,High,
Clock Input,cpu_clk,,,,11,Unknown,
Input,cpu_a5,,B,,14,High,
Input,cpu_a16,,B,,15,High,
Input,cpu_a6,,B,,16,High,
Output,mux_switch,,B,,17,High,SLOW
Output,dram_nras2,,B,,18,High,SLOW
Output,dram_nras3,,B,,19,High,SLOW
Input,enab,,B,,20,High,
Output,cpu_d15,,C,,25,High,SLOW
Output,cpu_d14,,C,,26,High,SLOW
Output,cpu_d13,,C,,27,High,SLOW
Output,cpu_d12,,C,,28,High,SLOW
Output,dram_nucas,,C,,29,High,SLOW
Output,dram_nlcas,,C,,30,High,SLOW
Output,dram_nras0,,C,,31,High,SLOW
Output,dram_nras1,,D,,36,High,SLOW
Input,cpu_nlds,,D,,37,High,
Input,cpu_nuds,,D,,38,High,
Input,cpu_nreset,,D,,39,High,
Input,cpu_nas,,D,,40,High,
Input,cpu_a23,,D,,41,High,
Input,cpu_a22,,D,,42,High,
Input,cpu_a21,,D,,43,High,
